Type,Hex_ID,Decimal_ID,Name,Arguments
proc,0x03A,58,Set_Text_Buffer_Int_Formatted,"buffer_id, value, digits"
proc,0x03B,59,Check_Date,"arg_1, arg_2"
func,0x03D,61,RNG_Generator,"Min, Max"
func,0x03E,62,Func03E,arg_1
proc,0x03F,63,Set_Flag,"Flag_Dir, Valor_NVO"
func,0x040,64,Func040,
func,0x041,65,Compare_Gift,
func,0x042,66,Is_Item_Wrapped,
func,0x043,67,Search_Food_Gift_Address,
func,0x044,68,Search_Item_Gift_Address,
func,0x045,69,Func044,
proc,0x046,70,Destroy_Hand_Item,arg_1
proc,0x047,71,Proc046,
proc,0x048,72,Give_Food,arg_1
proc,0x049,73,Give_Item,arg_1
proc,0x04A,74,Receive_Gift_ID,item_id
proc,0x04B,75,Proc04A,arg_1
func,0x04C,76,Func04B,
func,0x04D,77,Func04C,
proc,0x04E,78,Proc04D,
func,0x04F,79,Check_Equped_Tool,
func,0x050,80,Check_Tool_TBox_Space,
proc,0x051,81,Give_Tool_In_ToolBox,"arg_1, arg_2"
proc,0x052,82,Remove_Equipped_Item,
func,0x053,83,Func052,arg_1
func,0x054,84,Has_Met_NPC,which_npc
proc,0x055,85,Proc054,arg_1
func,0x056,86,Check_Tool_Inventory_Space,
func,0x057,87,Func056,
func,0x058,88,Func058,"arg_1, arg_2"
func,0x059,89,Func058,"arg_1, arg_2"
func,0x05A,90,Give_Tool_In_Inventory,"Item_ID, Quantity"
proc,0x05B,91,Animation_Tool_Give,arg_j1
proc,0x05C,92,Set_Global_RNG_Modifier,"Target, Value"
func,0x05D,93,Anim_Player_Drop_Arms,
func,0x05E,94,Func05D,arg_1
func,0x060,96,Func05F,arg_1
proc,0x061,97,Proc060,arg_1
proc,0x062,98,Proc061,
proc,0x063,99,Proc062,
func,0x064,100,Func063,
proc,0x065,101,Activate_Hot_Spring_Healing,
proc,0x066,102,Kill_NPC,arg_1
proc,0x067,103,Wait_Screen_Effect,
proc,0x068,104,Proc067,
func,0x069,105,Last_Sleep_Location_Check,
proc,0x06A,106,Unlock_Player_Input,
proc,0x06B,107,Lock_Player_Input,
proc,0x06C,108,Resume_Tick_Engine,
func,0x06D,109,Func06C,
func,0x06E,110,Func06D,
func,0x06F,111,Func06E,
func,0x071,113,Func070,arg_1
proc,0x073,115,Proc072,
func,0x074,116,Func073,
proc,0x075,117,Proc074,
proc,0x077,119,Set_Goddess_Appearance_Flash,state
func,0x078,120,Func078,
proc,0x079,121,Proc079,arg_1
func,0x07A,122,Func077,arg_1
func,0x07B,123,Func078,arg_1
proc,0x07C,124,GameCube_Link_Command,action_id
proc,0x07D,125,Proc07A,arg_1
func,0x07E,126,Is_NPC_Birthday,arg_1
func,0x07F,127,Chek_Friendship_Points,arg_1
proc,0x080,128,Give_Friendship_Points,"arg_1, arg_2"
proc,0x081,129,Add_Rival_Points,"pair_id, points"
func,0x082,130,Func07F,arg_1
proc,0x083,131,Free_Event_Entity,arg_1
func,0x084,132,Has_Spoken_To_NPC_Today,NPC_ID
func,0x085,133,Has_NPC_Talked_Today,arg_1
func,0x086,134,Func083,arg_1
proc,0x087,135,Warp_Entity_To_Map,arg_1
func,0x088,136,Has_NPC_Talked_Today_2,arg_1
func,0x089,137,Chek_Love_Points,arg_1
proc,0x08A,138,Give_Love_Points,"direccion, cantidad"
proc,0x08C,140,Routine_State_Override,"arg_1, arg_2"
proc,0x08D,141,Despawn_Entity   ,arg_1
proc,0x08E,142,Proc08B,
proc,0x08F,143,Open_Shop_Quantity_UI,Shop_Item_ID
proc,0x090,144,Proc08D,
proc,0x091,145,Proc08E,
proc,0x092,146,Open_Gotz_Shop_Menu,
proc,0x093,147,Proc090,
proc,0x094,148,Proc091,
proc,0x095,149,Proc092,
proc,0x096,150,Proc093,
proc,0x097,151,Proc094,
proc,0x098,152,Proc095,
proc,0x099,153,Proc096,
proc,0x09A,154,Open_Rucksack_Select_UI,
proc,0x09B,155,Display_Full_Screen_Image,image_id
proc,0x09C,156,Proc099,
proc,0x09D,157,Proc09A,
proc,0x09E,158,Proc09B,
proc,0x09F,159,Proc09C,
proc,0x0A0,160,Proc09D,
proc,0x0A1,161,Proc09E,
proc,0x0A2,162,Proc09F,
proc,0x0A3,163,Proc0A0,
proc,0x0A4,164,Proc0A1,
func,0x0A5,165,Func0A2,
proc,0x0A6,166,Show_Naming_Screen,"arg_1, arg_2"
proc,0x0A8,168,Proc0A5,
proc,0x0A9,169,Proc0A6,arg_1
func,0x0AA,170,Func0A7,arg_1
proc,0x0AB,171,Reset_Event_Entities,
proc,0x0AC,172,Proc0A9,arg_1
proc,0x0AD,173,Proc0AA,
proc,0x0AE,174,Proc0AB,
proc,0x0AF,175,Proc0AC,
proc,0x0B0,176,Proc0AD,
proc,0x0B1,177,Proc0AE,
proc,0x0B2,178,Proc0AF,
func,0x0B3,179,Func0B0,
func,0x0B4,180,Func0B1,arg_1
func,0x0B5,181,Func0B2,
proc,0x0B6,182,Proc0B3,arg_1
func,0x0B7,183,Func0B4,arg_1
proc,0x0B8,184,Proc0B5,arg_1
func,0x0B9,185,Func0B6,
func,0x0BA,186,Func0B7,arg_1
proc,0x0BB,187,Proc0B8,arg_1
proc,0x0BC,188,Proc0B9,arg_1
func,0x0BD,189,Func0BA,arg_1
func,0x0BE,190,Func0BB,
func,0x0BF,191,Func0BC,arg_1
func,0x0C0,192,Func0BD,arg_1
func,0x0C1,193,Func0BE,arg_1
proc,0x0C2,194,Add_Fodder_to_Box,slot_id
proc,0x0C3,195,Proc0C0,
func,0x0C4,196,Func0C1,
func,0x0C5,197,Func0C2,arg_1
func,0x0C6,198,Func0C3,arg_1
proc,0x0C7,199,Proc0C4,
proc,0x0C8,200,Proc0C5,
func,0x0C9,201,Init_Notice_Board_UI,
proc,0x0CA,202,Anim_Door_Enter,arg_1
proc,0x0CB,203,Anim_Door_Exit,arg_1
proc,0x0CC,204,Proc0C9,
proc,0x0CD,205,Proc0CA,
func,0x0CE,206,Func0CB,arg_1
func,0x0CF,207,Func0CC,arg_1
func,0x0D0,208,Func0CD,"arg_1, arg_2"
func,0x0D1,209,Func0CE,arg_1
proc,0x0D3,211,Hire_Harvest_Sprite,"sprite_id, task_id, days"
proc,0x0D4,212,Proc0D1,arg_1
func,0x0D5,213,Func0D2,arg_1
func,0x0D6,214,Func0D3,arg_1
func,0x0D7,215,Func0D4,arg_1
func,0x0D8,216,Func0D5,arg_1
func,0x0D9,217,Func0D6,
func,0x0DA,218,Open_Betting_UI,Player_Participating
proc,0x0DB,219,Set_Festival_Participation,participate_bool
proc,0x0DC,220,Open_Prize_Exchange_UI,
func,0x0DD,221,Func0DA,arg_1
proc,0x0DE,222,Proc0DB,
proc,0x0DF,223,Unlock_Summer_Events,
func,0x0E0,224,Func0DD,
func,0x0E1,225,Chek_Envio,
func,0x0E2,226,Func0DF,
proc,0x0E3,227,Proc0E0,arg_1
proc,0x0E4,228,Proc0E1,
proc,0x0E5,229,Electrodomestic_initiation,
func,0x0E6,230,Func0E3,
func,0x0E7,231,Func0E4,
func,0x0E8,232,Func0E5,
func,0x0E9,233,Func0E6,
func,0x0EA,234,Func0E7,
func,0x0EB,235,Func0E8,
func,0x0EC,236,Func0E9,
func,0x0ED,237,Func0EA,
func,0x0EF,239,Check_Money,
proc,0x0F0,240,Proc0ED,arg_1
proc,0x0F1,241,Take_Money,arg_1
proc,0x0F2,242,End_Cinematic_State,
proc,0x0F3,243,Refresh_Map_Entities,
func,0x0F4,244,Func0F1,
func,0x0F5,245,Func0F2,
func,0x0F6,246,Func0F3,
proc,0x0F7,247,Set_Time,"Hour, Minute"
func,0x0F8,248,Func0F5,arg_1
func,0x0F9,249,Func0F6,arg_1
proc,0x0FA,250,Schedule_Next_Event,script_id
proc,0x0FB,251,Proc0F8,arg_1
func,0x0FC,252,Func0F9,
func,0x0FD,253,Func0FA,
func,0x0FE,254,Print_TV_Message,arg_1: string
proc,0x0FF,255,Set_TV_Screen_Graphic,arg_1
proc,0x100,256,Close_TV_Interface,
proc,0x101,257,Finalize_Event,
func,0x102,258,Func0FF,"arg_1, arg_2"
proc,0x103,259,Allocate_Unique_Animal,"arg_1, arg_2, arg_3, arg_4, arg_5"
proc,0x104,260,Deallocate_Unique_Animal,"arg_1, arg_2"
proc,0x105,261,GetAnimalName,"arg_1, arg_2, arg_3"
func,0x106,262,Get_Targeted_Animal_Index,
func,0x107,263,HasAnimalBeenTalkedTo,"arg_1, arg_2"
proc,0x108,264,SetAnimalTalkedTo,"arg_1, arg_2"
proc,0x109,265,Add_Animal_Affection,"arg_1, arg_2, arg_3"
func,0x10A,266,Is_Animal_Stressed,"arg_1, arg_2"
func,0x10B,267,GetAnimalAge,"arg_1, arg_2"
func,0x10C,268,Is_Animal_Pregnant,"arg_1, arg_2"
func,0x10D,269,Get_Pregnancy_Days_Passed,"arg_1, arg_2"
func,0x10F,271,Get_Animal_Stats,"Animal_Type, Animal_ID"
func,0x110,272,Func10D,"arg_1, arg_2"
func,0x111,273,Func10E,arg_1
func,0x112,274,Func10F,"arg_1, arg_2"
proc,0x113,275,Proc110,
proc,0x114,276,Proc111,
proc,0x115,277,Proc112,
proc,0x116,278,Proc113,
func,0x117,279,Func114,arg_1
func,0x118,280,Func115,
func,0x119,281,Func116,
func,0x11A,282,Func117,
proc,0x11B,283,Register_Animal_Festival,"arg_1, arg_2"
proc,0x11C,284,Recalculate_Global_Schedules,arg_1
func,0x11D,285,Get_Festival_Entry_ID,Animal_Type
proc,0x11E,286,Proc11B,arg_1
func,0x11F,287,Func11C,
func,0x120,288,Func11D,
func,0x121,289,Func11E,
func,0x122,290,Func11F,
func,0x124,292,Func120,
func,0x125,293,Func121,
func,0x126,294,Func122,
func,0x127,295,Func123,
func,0x128,296,Func124,
proc,0x129,297,Set_Player_Nickname_ID,Nickname_Index
proc,0x12A,298,Reload_Base_Map_Tiles,
proc,0x12B,299,Color_Shader_Effect,"arg_1, arg_2, arg_3"
proc,0x12C,300,Proc128,
proc,0x12D,301,Proc129,
proc,0x12E,302,Proc12A,arg_1
proc,0x12F,303,Proc12B,
func,0x130,304,Func12C,arg_1
proc,0x131,305,Proc12D,
proc,0x132,306,Proc12E,"arg_1, arg_2, arg_3, arg_4"
proc,0x133,307,Proc12F,
proc,0x134,308,Proc130,
proc,0x135,309,Proc131,
proc,0x136,310,Trigger_Screen_Flash,
func,0x137,311,Func133,
proc,0x138,312,Proc134,"arg_1, arg_2"
proc,0x139,313,Proc135,
func,0x13A,314,Func136,arg_1
func,0x13B,315,Func137,arg_1
func,0x13C,316,Take_Tool,arg_1
proc,0x13D,317,Spawn_Item_On_Grid,"arg_1, arg_2, arg_3, arg_4, arg_5"
proc,0x13E,318,Despawn_Map_Item,arg_1
func,0x13F,319,Get_Item_Sprite_ID,arg_1
proc,0x142,322,Refresh_Current_Tile,
proc,0x143,323,Get_Tile_Object_Type,arg_1
proc,0x144,324,Proc140,"arg_1, arg_2, arg_3"
proc,0x145,325,Proc141,arg_1
proc,0x146,326,Set_Carrying_Entity,entity_id
proc,0x147,327,Initialize_Animal_Stats,"entity_id, growth, species"
proc,0x148,328,Proc144,"arg_1, arg_2"
func,0x149,329,Func145,
proc,0x14A,330,Proc146,
