0x000 Unk000(/* ... */) // unreferenced
0x001 Unk001(/* ... */) // unreferenced
proc0x002, SetEntityPosition, "which_entity, x, y, facing"
func0x122, Func126, ""
func0x123, Func127, ""
func0x124, Func128, ""
proc0x125, Proc129, "arg_1: string"
proc0x126, Proc12A, ""
proc0x127, Proc12B, "arg_1, arg_2, arg_3"
proc0x128, Proc12C, ""
proc0x129, Proc12D, ""
proc0x12A, Proc12E, "arg_1"
proc0x12B, Proc12F, ""
func0x12C, Func130, "arg_1"
proc0x12D, Proc131, ""
proc0x12E, Proc132, "arg_1, arg_2, arg_3, arg_4"
proc0x12F, Proc133, ""
proc0x130, Proc134, ""
proc0x131, Proc135, ""
proc0x132, Proc136, ""
func0x133, Func137, ""
proc0x134, Proc138, "arg_1, arg_2"
proc0x135, Proc139, ""
func0x136, Func13A, "arg_1"
func0x137, Func13B, "arg_1"
func0x138, Func13C, "arg_1"
proc0x139, Proc13D, "arg_1, arg_2, arg_3, arg_4, arg_5"
proc0x13A, Proc13E, "arg_1"
func0x13B, Func13F, "arg_1"
PROFU0x13C, Unk13C /* ... */) // unreferenced
PROFU0x13D, Unk13D /* ... */) // unreferenced
proc0x13E, Proc142, "arg_1, arg_2, arg_3, arg_4, arg_5"
proc0x13F, Proc143, "arg_1, arg_2, arg_3"
proc0x140, Proc144, "arg_1, arg_2, arg_3"
proc0x141, Proc145, "arg_1"
proc0x142, Proc146, "arg_1"
proc0x143, Proc147, "arg_1, arg_2, arg_3"
proc0x144, Proc148, "arg_1, arg_2"
func0x145, Func149, ""
proc0x146, Proc14A, ""
