Animation_Name,Animation_ID
Player_Down_To_Horse_B_Base,0x15A
Player_Run_Base,0x15E
Shadow_Anim_1,0x161
Shadow_Anim_2,0x162
Shadow_Anim_3,0x163
Shadow_Anim_4,0x164
Sickle_Charge_1_Base,0x166
Sickle_Charge_2_Base,0x16A
Sickle_Charge_3_Base,0x16E
Sickle_Charge_4_Base,0x172
Sickle_Charge_5_Base,0x176
Sickle_Charge_6_Base,0x17A
Sickle_Charge_7_Base,0x17E
Sickle_Charged_Use_Base,0x182
Sickle_Midle_Charge_Use_Base,0x186
Sickle_Normal_Use_Base,0x18A
Shadwow_AnimB_1,0x18D
Shadwow_AnimB_2,0x18E
Shadwow_AnimB_3,0x18F
Shadwow_AnimB_4,0x190
Player_Stop_Base,0x192
Player_Turn_To_Sleep_In_Floor_1,0x195
Player_Turn_To_Sleep_In_Floor_2,0x196
Player_Turn_To_Sleep_In_Floor_3,0x197
Player_Turn_To_Sleep_In_Floor_4,0x198
Player_Rise_Hand_1,0x199
Player_Rise_Hand_2,0x19A
Player_Rise_Hand_3,0x19B
Player_Rise_Hand_4,0x19C
Player_Middle_Hand_StopB_1,0x19D
Player_Middle_Hand_StopB_2,0x19E
Player_Middle_Hand_StopB_3,0x19F
Player_Middle_Hand_StopB_4,0x1A0
Player_Animal_Medicine_Use_Base,0x1A2
Player_Bell_Use_Base,0x1A6
Player_Brush_Use_Base,0x1AA
Player_Sheep_Miracle_Potion_Base,0x1AE
Player_Sicksors_Use_Base,0x1B2
Player_Milkker_Use_Base,0x1B6
Player_Seed_Use_Base,0x1BA
Player_Cow_Miracle_Potion_Base,0x1BE
Player_happy_Jump_1,0x1C1
Player_happy_Jump_2,0x1C2
Player_happy_Jump_3,0x1C3
Player_happy_Jump_4,0x1C4
Player_Walking_Base,0x1C6
Player_Lift_Crop_Base,0x1CA
Player_Watering_Can_Charge_1_Base,0x1CE
Player_Watering_Can_Charge_2_Base,0x1D2
Player_Watering_Can_Charge_3_Base,0x1D6
Player_Watering_Can_Charge_4_Base,0x1DA
Player_Watering_Can_Charge_5_Base,0x1DE
Player_Watering_Can_Charge_6_Base,0x1E2
Player_Watering_Can_Charge_7_Base,0x1E6
Player_Watering_Can_Refill_Base,0x1EA
Player_Watering_Can_Use_Base,0x1EE
Player_Watering_Can_Charged_Use_Base,0x1F2
Player_Wathering_Can_Middle_Charged_Use_Base,0x1F6
Player_Whistling_Base,0x1FA
Player_See_Base,0x1FE
Buttefly_Base,0x202
Butterfly_Stop,0x205
Cat_Stop_Base,0x207
Cat_Walking_Base,0x20B
Cat_Cleaning_1,0x20E
Cat_Cleaning_2,0x20F
Cat_Cleaning_3,0x210
Cat_Cleaning_4,0x211
Rick_Stop_Base,0x213
Rick_Walking_Base,0x217
Rick_Hands_Middle_Base,0x21B
Rick_Hands_Middle2_Base,0x21F
Rick_Weeding_Stop_Base,0x223
Rick_Weeding_Walking_Base,0x227
Rick_Weeding_Kiss_1,0x22A
Rick_Weeding_Kiss_2,0x22B
Rick_Weeding_Kiss_3,0x22C
Rick_Weeding_Kiss_4,0x22D
Popuri_Stop_Base,0x22F
Popuri_Walking_Base,0x233
Popuri_Hands_Middle_Base,0x237
Popuri_Hands_Middle2_Base,0x23B
Shadwo_Anim_5,0x23E
Shadwo_Anim_6,0x23F
Shadwo_Anim_7,0x240
Shadwo_Anim_8,0x241
Shadwo_AnimB_5,0x242
Shadwo_AnimB_6,0x243
Shadwo_AnimB_7,0x244
Shadwo_AnimB_8,0x245
Popuri_Child_Stop_Base,0x247
Popuri_Child_Walking_Base,0x24B
Popuri_Weeding_Stop_Base,0x24F
Popuri_Weeding_Walking_Base,0x253
Popuri_Weeding_Kiss_1,0x256
Popuri_Weeding_Kiss_2,0x257
Popuri_Weeding_Kiss_3,0x258
Popuri_Weeding_Kiss_4,0x259
Shadwo_AnimB_9,0x25A
Shadwo_AnimB_10,0x25B
Shadwo_AnimB_11,0x25C
Shadwo_AnimB_12,0x25D
Lilia_Stop_Base,0x25F
Lilia_Walking_Base,0x263
Baby_Stop_Base,0x267
Baby_Sit_Base,0x26B
Baby_Walking_Base,0x26F
Baby_Crawling_Base,0x273
Shadwo_AnimB_13,0x276
Shadwo_AnimB_14,0x277
Shadwo_AnimB_15,0x278
Shadwo_AnimB_16,0x279
Clif_Stop_Base,0x27B
Clif_Walking_Base,0x27F
Clif_Hands_Middle_1_Base,0x283
Clif_Weeding_Stop_Base,0x287
Cliff_Weeding_Walking_Base,0x28B
Cliff_Weeding_Kiss_1,0x28E
Cliff_Weeding_Kiss_2,0x28F
Cliff_Weeding_Kiss_3,0x290
Cliff_Weeding_Kiss_4,0x291
Shadwo_AnimB_17,0x292
Shadwo_AnimB_18,0x293
Shadwo_AnimB_19,0x294
Shadwo_AnimB_20,0x295
Shadwo_AnimC_1,0x296
Shadwo_AnimC_2,0x297
Shadwo_AnimC_3,0x298
Shadwo_AnimC_4,0x299
Clif_Faint_1,0x29A
Clif_Faint_2,0x29B
Clif_Faint_3,0x29C
Clif_Faint_4,0x29D
Shadwo_AnimC_5,0x29E
Shadwo_AnimC_6,0x29F
Shadwo_AnimC_7,0x2A0
Shadwo_AnimC_8,0x2A1
Cicada_Flashing_1,0x2A2
Cicada_Flashing_2,0x2A3
Cicada_Flashing_3,0x2A4
Cicada_Flashing_4,0x2A5
Cicada_Fliying_1,0x2A6
Cicada_Fliying_2,0x2A7
Cicada_Fliying_3,0x2A8
Cicada_Fliying_4,0x2A9
Cicada_Stop,0x2AA
Cow1_Stop_Base,0x2AC
Cow1_Walking_Base,0x2B0
Cow1_Eating_Base,0x2B4
Cow1_Sleep_Base,0x2B8
Cow1_Deep_Sleep_Base,0x2BC
Cow1_Happy_Base,0x2C0
Cow2_Stop_Base,0x2C4
Cow2_Walking_Base,0x2CC
Cow2_Eating_Base,0x2D0
Cow2_Sleep_Base,0x2D4
Cow2_Deep_Sleep_Base,0x2D8
Cow2_Happy_Base,0x2DC
Cow3_Stop_Base,0x2E0
Cow3_Walking_Base,0x2E4
Cow3_Eating_Base,0x2E8
Cow3_Sleep_Base,0x2EC
Cow3_Deep_Sleep_Base,0x2F0
Cow3_Happy_Base,0x2F4
Coww_Happy?_Base,0x2F8
Cow_Baby_Stop_Base,0x2FC
Cow_Baby_Walking_Base,0x300
Cow_Baby_Eating_Base,0x304
Cow_Baby_Sleep_Base,0x308
Cow_Baby_Deep_Sleep_Base,0x30C
Cow_Baby_Happy_Base,0x310
Cow_Baby_Happy_Down2,0x313
Cow_Baby_Happy_Up2,0x314
Cow_Baby_Happy_Left2,0x315
Cow_Baby_Happy_Right2,0x316
Zack_Stop_Base,0x318
Zack_Walking_Base,0x31C
Doctor_Stop_Base,0x31F
Doctor_Walking_Base,0x323
Doctor_Hands_Middle_1_Base,0x327
Doctor_Weeding_Stop_Base,0x32B
Doctor_Weeding_Walking_Base,0x32F
Doctor_Weeding_Kiss_1,0x332
Doctor_Weeding_Kiss_2,0x333
Doctor_Weeding_Kiss_3,0x334
Doctor_Weeding_Kiss_4,0x335
Dog_Stop_Base,0x337
Dog_Walking_Base,0x33B
Dog_Running_Base,0x33F
Dog_Eating_Base,0x343
Dog_Stop_Happy_Base,0x347
Dog_Sitting_Base,0x34B
Dog_Scratching_Base,0x34F
Dog_Sleeping_Base,0x353
Dog_Deep_Sleeping_Base,0x357
Dog_Side_Belly_Base,0x35B
Dog_Belly_Up_1,0x35E
Dog_Belly_Up_2,0x35F
Dog_Belly_Up_3,0x360
Dog_Belly_Up_4,0x361
Dog_Jump1_Base,0x363
Dog_Jump2_Base,0x367
Dog_Jump3_Base,0x36B
Dog_Barking_Base,0x36F
Dog_Left_Sit,0x372
Dog_Jumping_Happy_Base,0x374
Other_Dog_1_Stop_Base,0x378
Other_Dog_1_Walking_Base,0x37C
Other_Dog_1_Running_Base,0x380
Other_Dog_1_Eating_Base,0x384
Other_Dog_1_Happy_Base,0x388
Other_Dog_1_Sit_Base,0x38C
Other_Dog_1_Scratching_Base,0x390
Other_Dog_1_Sleeping_Base,0x394
Other_Dog_1_Deep_Sleeping_Base,0x398
Other_Dog_1_Belly_Base,0x39C
Other_Dog_1_Belly_Up_Base,0x3A0
Other_Dog_1_Barking_Base,0x3A4
Other_Dog_1_Sit,0x3A7
Other_Dog_1_Happy_Jumping_Base,0x3A9
Baby_Dog_Stop_Base,0x3AD
Baby_Dog_Running_Base,0x3B1
Baby_Dog_Walking_Base,0x3B5
Baby_Dog_Eating_Base,0x3B9
Baby_Dog_Happy_Base,0x3BD
Baby_Dog_Sit_Base,0x3C1
Baby_Dog_Scratching_Base,0x3C5
Baby_Dog_Sleeping_Base,0x3C9
Baby_Dog_Deep_Sleeping_Base,0x3CD
Baby_Dog_Belly_Base,0x3D1
Baby_Dog_Belly_Up_Base,0x3D5
Baby_Dog_Barking_Base,0x3D9
Baby_Dog_Sit,0x3DC
Dragon_Fly_Base,0x3DE
Dragon_Fly_Stop,0x3E1
Staid_Stop_Base,0x3E3
Staid_Walking_Base,0x3E7
Staid_Sleeping_Base,0x3EB
Staid_Singing_Base,0x3EF
Staid_Stop_Base,0x3F3
Staid_Crop_Lift_1_Base,0x3F7
Staid_Crop_Lift_2_Base,0x3FB
Staid_Crop_Lift_3_Base,0x3FF
Staid_Crop_Lift_Mistake_Base,0x403
Staid_Crop_Lift_Broken_Mistake_Base,0x407
Staid_Crop_Pull_Overload_Base,0x40B
Staid_Crop_Pull_Stuck_Base,0x40F
Staid_Crop_Pull1_Base,0x413
Staid_Crop_Pull1_Stuck_Base,0x417
Staid_Crop_Pull2_Base,0x41B
Staid_Crop_Pull2_Stuck_Down,0x41E
Staid_Move_Animal_Feed_Base,0x420
Staid_Use_Animal_Feed_1,0x423
Staid_Use_Animal_Feed_2,0x424
Staid_Use_Animal_Feed_3,0x425
Staid_Use_Animal_Feed_4,0x426
Staid_Stop2_Base,0x428
Staid_Magic_Effect1,0x42B
Staid_Magic_Effect2,0x42C
Staid_Magic_Effect3,0x42D
Staid_Magic_Effect4,0x42E
Shadow_Animan1,0x42F
Shadow_Animan2,0x430
Shadow_Animan3,0x431
Shadow_Animan4,0x432
Timid_Stop_Base,0x434
Timid_Walking_Base,0x438
Timid_Sleeping_Base,0x43C
Timid_Singing_Base,0x440
Timid_Stop_Base,0x444
Timid_Crop_Lift_1_Base,0x448
Timid_Crop_Lift_2_Base,0x44C
Timid_Crop_Lift_3_Base,0x450
Timid_Crop_Lift_Mistake_Base,0x454
Timid_Crop_Lift_Broken_Mistake_Base,0x458
Timid_Crop_Pull_Overload_Base,0x45C
Timid_Crop_Pull_Stuck_Base,0x460
Timid_Crop_Pull1_Base,0x464
Timid_Crop_Pull1_Stuck_Base,0x468
Timid_Crop_Pull2_Base,0x46C
Timid_Crop_Pull2_Stuck_Down,0x46F
Timid_Move_Animal_Feed_Base,0x471
Timid_Use_Animal_Feed_1,0x474
Timid_Use_Animal_Feed_2,0x475
Timid_Use_Animal_Feed_3,0x476
Timid_Use_Animal_Feed_4,0x477
Timid_Stop2_Base,0x479
timid_Stop_3,0x47C
timid_Stop_4,0x47D
Timid_Stop5,0x47E
Timid_Magic_Effect1,0x47F
Timid_Magic_Effect2,0x480
Timid_Magic_Effect3,0x481
Timid_Magic_Effect4,0x482
Shadow_Animan1,0x483
Shadow_Animan2,0x484
Shadow_Animan3,0x485
Shadow_Animan4,0x486
Nappy_Stop_Base,0x488
Nappy_Walking_Base,0x48C
Nappy_Sleeping_Base,0x490
Nappy_Singing_Base,0x494
Nappy_Stop_Base,0x498
Nappy_Crop_Lift_1_Base,0x49C
Nappy_Crop_Lift_2_Base,0x4A0
Nappy_Crop_Lift_3_Base,0x4A4
Nappy_Crop_Lift_Mistake_Base,0x4A8
Nappy_Crop_Lift_Broken_Mistake_Base,0x4AC
Nappy_Crop_Pull_Overload_Base,0x4B0
Nappy_Crop_Pull_Stuck_Base,0x4B4
Nappy_Crop_Pull1_Base,0x4B8
Nappy_Crop_Pull1_Stuck_Base,0x4BC
Nappy_Crop_Pull2_Base,0x4C0
Nappy_Crop_Pull2_Stuck_Down,0x4C3
Nappy_Move_Animal_Feed_Base,0x4C5
Nappy_Use_Animal_Feed_1,0x4C8
Nappy_Use_Animal_Feed_2,0x4C9
Nappy_Use_Animal_Feed_3,0x4CA
Nappy_Use_Animal_Feed_4,0x4CB
Nappy_Stop2_Base,0x4CD
Nappy_Stop_3,0x4D0
Nappy_Stop_4,0x4D1
Nappy_Stop_5,0x4D2
Nappy_Magic_Effect1,0x4D3
Nappy_Magic_Effect2,0x4D4
Nappy_Magic_Effect3,0x4D5
Nappy_Magic_Effect4,0x4D6
Shadow_Animan1,0x4D7
Shadow_Animan2,0x4D8
Shadow_Animan3,0x4D9
Shadow_Animan4,0x4DA
Bold_Stop_Base,0x4DC
Bold_Walking_Base,0x4E0
Bold_Sleeping_Base,0x4E4
Bold_Singing_Base,0x4E8
Bold_Stop_Base,0x4EC
Bold_Crop_Lift_1_Base,0x4F0
Bold_Crop_Lift_2_Base,0x4F4
Bold_Crop_Lift_3_Base,0x4F8
Bold_Crop_Lift_Mistake_Base,0x4FC
Bold_Crop_Lift_Broken_Mistake_Base,0x500
Bold_Crop_Pull_Overload_Base,0x504
Bold_Crop_Pull_Stuck_Base,0x506
Bold_Crop_Pull1_Base,0x50A
Bold_Crop_Pull1_Stuck_Base,0x50E
Bold_Crop_Pull2_Base,0x512
Bold_Crop_Pull2_Stuck_Base,0x516
Bold_Move_Animal_Feed_Base,0x51A
Bold_Use_Animal_Feed_1,0x51D
Bold_Use_Animal_Feed_2,0x51E
Bold_Use_Animal_Feed_3,0x51F
Bold_Use_Animal_Feed_4,0x520
Bold_Stop2_Base,0x522
Bold_Stop_3,0x525
Bold_Stop_4,0x526
Bold_Magic_Effect1,0x527
Bold_Magic_Effect2,0x528
Bold_Magic_Effect3,0x529
Bold_Magic_Effect4,0x52A
Shadow_Animan1,0x52B
Shadow_Animan2,0x52C
Shadow_Animan3,0x52D
Shadow_Animan4,0x52E
Chef_Stop_Base,0x530
Chef_Walking_Base,0x534
Chef_Sleeping_Base,0x538
Chef_Singing_Base,0x53C
Chef_Stop_Base,0x540
Chef_Crop_Lift_1_Base,0x544
Chef_Crop_Lift_2_Base,0x548
Chef_Crop_Lift_3_Base,0x54C
Chef_Crop_Lift_Mistake_Base,0x550
Chef_Crop_Lift_Broken_Mistake_Base,0x554
Chef_Crop_Pull_Overload_Base,0x558
Chef_Crop_Pull_Stuck_Base,0x55C
Chef_Crop_Pull1_Base,0x560
Chef_Crop_Pull1_Stuck_Base,0x564
Chef_Crop_Pull2_Base,0x568
Chef_Crop_Pull2_Stuck_Down,0x56B
Chef_Move_Animal_Feed_Base,0x56D
Chef_Use_Animal_Feed_1,0x570
Chef_Use_Animal_Feed_2,0x571
Chef_Use_Animal_Feed_3,0x572
Chef_Use_Animal_Feed_4,0x573
Chef_Stop2_Base,0x575
Chef_Stop_3,0x578
Chef_Stop_4,0x579
Chef_Stop_5,0x57A
Chef_Magic_Effect1,0x57B
Chef_Magic_Effect2,0x57C
Chef_Magic_Effect3,0x57D
Chef_Magic_Effect4,0x57E
Shadow_Animan1,0x57F
Shadow_Animan2,0x580
Shadow_Animan3,0x581
Shadow_Animan4,0x582
Aqua_Stop_Base,0x584
Aqua_Walking_Base,0x588
Aqua_Sleeping_Base,0x58C
Aqua_Singing_Base,0x590
Aqua_Stop_Base,0x594
Aqua_Crop_Lift_1_Base,0x598
Aqua_Crop_Lift_2_Base,0x59C
Aqua_Crop_Lift_3_Base,0x5A0
Aqua_Crop_Lift_Mistake_Base,0x5A4
Aqua_Crop_Lift_Broken_Mistake_Base,0x5A8
Aqua_Crop_Pull_Overload_Base,0x5AC
Aqua_Crop_Pull_Stuck_Base,0x5B0
Aqua_Crop_Pull1_Base,0x5B4
Aqua_Crop_Pull1_Stuck_Base,0x5B8
Aqua_Crop_Pull2_Base,0x5BC
Aqua_Crop_Pull2_Stuck_Base,0x5C0
Aqua_Move_Animal_Feed_Base,0x5C4
Aqua_Use_Animal_Feed_1,0x5C7
Aqua_Use_Animal_Feed_2,0x5C8
Aqua_Use_Animal_Feed_3,0x5C9
Aqua_Use_Animal_Feed_4,0x5CA
Aqua_Stop2_Base,0x5CC
Aqua_Magic_Effect1,0x5CF
Aqua_Magic_Effect2,0x5D0
Aqua_Magic_Effect3,0x5D1
Aqua_Magic_Effect4,0x5D2
Shadow_Animan1,0x5D3
Shadow_Animan2,0x5D4
Shadow_Animan3,0x5D5
Shadow_Animan4,0x5D6
Hoggy_Stop_Base,0x5D8
Hoggy_Walking_Base,0x5DC
Hoggy_Sleeping_Base,0x5E0
Hoggy_Singing_Base,0x5E4
Hoggy_Stop2_Base,0x5E8
Hoggy_Crop_Lift_1_Base,0x5EC
Hoggy_Crop_Lift_2_Base,0x5F0
Hoggy_Crop_Lift_3_Base,0x5F4
Hoggy_Crop_Lift_Mistake_Base,0x5F8
Hoggy_Crop_Lift_Broken_Mistake_Base,0x5FC
Hoggy_Crop_Pull_Overload_Base,0x600
Hoggy_Crop_Pull_Stuck_Base,0x604
Hoggy_Crop_Pull1_Base,0x608
Hoggy_Crop_Pull1_Stuck_Base,0x60C
Hoggy_Crop_Pull2_Base,0x610
Hoggy_Crop_Pull2_Stuck_Base,0x614
Hoggy_Move_Animal_Feed_Base,0x618
Hoggy_Use_Animal_Feed_1,0x61B
Hoggy_Use_Animal_Feed_2,0x61C
Hoggy_Use_Animal_Feed_3,0x61D
Hoggy_Use_Animal_Feed_4,0x61E
Hoggy_Stop2_Base,0x620
Hoggy_Magic_Effect1,0x623
Hoggy_Magic_Effect2,0x624
Hoggy_Magic_Effect3,0x625
Hoggy_Magic_Effect4,0x626
Shadow_Animan1,0x627
Shadow_Animan2,0x628
Shadow_Animan3,0x629
Shadow_Animan4,0x62A
Chiken_Manager_1_Base,0x62C
Chiken_Manager_1_Stop_Base,0x630
Padding_1,0x633
Padding_2,0x634
Padding_3,0x635
Padding_4,0x636
Chiken_Manager_2_Base,0x638
Chiken_Manager_2_Stop_Base,0x63C
Chiken_Manager_2Pading_Stop_Base,0x640
Chiken_Manager_3_Base,0x640
Chiken_Manager_3_Stop_Base,0x640
Padding_5,0x643
Padding_6,0x644
Padding_7,0x645
Padding_8,0x646
Cosa_Rara_Parpadeando_1,0x647
Cosa_Rara_Parpadeando_2,0x648
Cosa_Rara_Parpadeando_3,0x649
Cosa_Rara_Parpadeando_4,0x64A
Cosa_Rara_Parpadeando_5,0x64B
Cosa_Rara_Parpadeando_6,0x64C
Cosa_Rara_Parpadeando_7,0x64D
Cosa_Rara_Parpadeando_8,0x64E
Cosa_Rara_Parpadeando_9,0x64F
Cosa_Rara_Parpadeando_10,0x650
Cosa_Rara_Parpadeando_11,0x651
Cosa_Rara_Parpadeando_12,0x652
Cosa_Rara_Parpadeando_13,0x653
Cosa_Rara_Parpadeando_14,0x654
Cosa_Rara_Parpadeando_15,0x655
Cosa_Rara_Parpadeando_16,0x656
Other_Cat_Stop_Base,0x658
Other_Cat_Base,0x65C
Cat_Stop_Stop,0x65F
Frog_Stop_Base,0x661
Frog_Walk_Base,0x665
H.Goodes_Stop_Base,0x669
H.Goodes_Walk_Base,0x66D
H.Goodes_Hands_Base,0x671
H.Goodes_Levitate_Base,0x675
Gourmet_Stop_Base,0x679
Gourmet_Walking_Base,0x67D
Gourmet_Eat_1,0x680
Gourmet_Eat_2,0x681
Gourmet_Eat_3,0x682
Gourmet_Eat_4,0x683
Ellen_Stop_Base,0x685
Jeff_Stop_Base,0x689
Jeff_Walk_Base,0x68D
Karen_Stop_Base,0x691
Karen_Walk_Base,0x695
Karen_Middle_Hands_Base,0x699
Karen_Stop2_Base,0x69D
Paddign_9,0x6A0
Paddign_10,0x6A1
Paddign_11,0x6A2
Paddign_12,0x6A3
Padding_13,0x6A4
Padding_14,0x6A5
Padding_15,0x6A6
Padding_16,0x6A7
Karen_Sing_1,0x6A8
Karen_Sing_2,0x6A9
Karen_Sing_3,0x6AA
Karen_Sing_4,0x6AB
Karen_Baby_Stop_Base,0x6AD
Karen_Baby_Walk_Base,0x6B1
Karen_Weeding_Stop_Base,0x6B5
Karen_Weeding_Base,0x6B9
Karen_Weeding_Kiss_1,0x6BC
Karen_Weeding_Kiss_2,0x6BD
Karen_Weeding_Kiss_3,0x6BE
Karen_Weeding_Kiss_4,0x6BF
Padding_17,0x6C0
Padding_18,0x6C1
Padding_19,0x6C2
Padding_20,0x6C3
Sasha_Stop_Base,0x6C5
Sasha_Walk_Base,0x6C9
Sasha_Hands_Middle_Base,0x6CD
Black_Chiken_Stop_Base,0x6D1
Black_Chiken_Base,0x6D5
Black_Chiken_Eat_Base,0x6D9
Black_Chiken_Exited_Base,0x6DD
Black_Chiken_Sleep_Base,0x6E1
Black_Chiken_Super_Exited_Base,0x6E5
Black_Chiken_Sit,0x6E8
White_Chiken_Stop_Base,0x6EA
White_Chiken_Base,0x6EE
White_Chiken_Eat_Base,0x6F2
White_Chiken_Exited_Base,0x6F6
White_Chiken_Sleep_Base,0x6FA
White_Chiken_Super_Exited_Base,0x6FE
White_Chiken_Sit,0x701
Golden_Chiken_Stop_Base,0x703
Golden_Chiken_Base,0x707
Golden_Chiken_Eat_Base,0x70B
Golden_Chiken_Exited_Base,0x70F
Golden_Chiken_Sleep_Base,0x713
Golden_Chiken_Super_Exited_Base,0x717
Golden_Chiken_Sit,0x71A
White2_Chiken_Stop_Base,0x71C
White2_Chiken_Base,0x720
White2_Chiken_Eat_Base,0x724
White2_Chiken_Exited_Base,0x728
White2_Chiken_Sleep_Base,0x72C
White2_Chiken_Sit,0x72F
Baby_Chiken_Stop_Base,0x731
Baby_Chiken_Base,0x735
Baby_Chiken_Sit,0x738
Horse_Rider_1_Stop_Base,0x73A
Horse_Rider_1_Base,0x73E
Horse_Rider_1_Finish_Base,0x742
Horse_Rider_2_Stop_Base,0x746
Horse_Rider_2_Base,0x74A
Horse_Rider_2_Finish_Base,0x74E
Horse_Rider_3_Stop_Base,0x752
Horse_Rider_3_Base,0x756
Horse_Rider_3_Finish_Base,0x75A
Horse_Rider_4_Stop_Base,0x75E
Horse_Rider_4_Base,0x762
Horse_Rider_4_Finish_Base,0x766
Horse_Rider_5_Stop_Base,0x76A
Horse_Rider_5_Base,0x76E
