Type,Hex_ID,Decimal_ID,Name,Arguments
func,0x041,65,Func041,
func,0x042,66,Func042,
func,0x043,67,Func043,
func,0x044,68,Func044,
func,0x045,69,Func045,
proc,0x046,70,Proc046,
proc,0x047,71,Proc047,
proc,0x048,72,Proc048,arg_1
proc,0x049,73,Proc049,arg_1
proc,0x04A,74,Proc04A,arg_1
proc,0x04B,75,Proc04B,arg_1
func,0x04C,76,Func04C,
func,0x04D,77,Func04D,
proc,0x04E,78,Proc04E,
func,0x04F,79,Func04F,
func,0x050,80,Func050,
proc,0x051,81,Proc051,"arg_1, arg_2"
proc,0x052,82,Proc052,
func,0x053,83,Func053,arg_1
func,0x054,84,Func054,arg_1
proc,0x055,85,Proc055,arg_1
func,0x056,86,Func056,
func,0x057,87,Func057,
func,0x058,88,Func058,"arg_1, arg_2"
func,0x059,89,Func059,"arg_1, arg_2"
func,0x05A,90,Func05A,"arg_1, arg_2"
proc,0x05B,91,Proc05B,arg_1
proc,0x05C,92,Proc05C,"arg_1, arg_2"
func,0x05D,93,Func05D,
func,0x05E,94,Func05E,arg_1
func,0x060,96,Func060,arg_1
proc,0x061,97,Proc061,arg_1
proc,0x062,98,Proc062,
proc,0x063,99,Proc063,
func,0x064,100,Func064,
proc,0x065,101,Proc065,
proc,0x066,102,Proc066,
proc,0x067,103,Proc067,
proc,0x068,104,Proc068,
func,0x069,105,Func069,
proc,0x06A,106,Proc06A,
proc,0x06B,107,Proc06B,
proc,0x06C,108,Proc06C,
func,0x06D,109,Func06D,
func,0x06E,110,Func06E,
func,0x06F,111,Func06F,
func,0x071,113,Func071,arg_1
proc,0x073,115,Proc073,
func,0x074,116,Func074,
proc,0x075,117,Proc075,
proc,0x077,119,Proc077,arg_1
func,0x078,120,Func078,
proc,0x079,121,Proc079,arg_1
func,0x07A,122,Func07A,arg_1
func,0x07B,123,Func07B,arg_1
proc,0x07C,124,Proc07C,arg_1
proc,0x07D,125,Proc07D,arg_1
func,0x07E,126,Func07E,arg_1
func,0x07F,127,Func07F,arg_1
proc,0x080,128,Proc080,"arg_1, arg_2"
proc,0x081,129,Proc081,"arg_1, arg_2"
func,0x082,130,Func082,arg_1
proc,0x083,131,Proc083,arg_1
func,0x084,132,Func084,arg_1
func,0x085,133,Func085,arg_1
func,0x086,134,Func086,arg_1
proc,0x087,135,Proc087,arg_1
func,0x088,136,Func088,arg_1
func,0x089,137,Func089,arg_1
proc,0x08A,138,Proc08A,"arg_1, arg_2"
proc,0x08C,140,Proc08C,"arg_1, arg_2"
proc,0x08D,141,Proc08D,arg_1
proc,0x08E,142,Proc08E,
proc,0x08F,143,Proc08F,arg_1
proc,0x090,144,Proc090,
proc,0x091,145,Proc091,
proc,0x092,146,Proc092,
proc,0x093,147,Proc093,
proc,0x094,148,Proc094,
proc,0x095,149,Proc095,
proc,0x096,150,Proc096,
proc,0x097,151,Proc097,
proc,0x098,152,Proc098,
proc,0x099,153,Proc099,
proc,0x09A,154,Proc09A,
proc,0x09B,155,Proc09B,arg_1
proc,0x09C,156,Proc09C,
proc,0x09D,157,Proc09D,
proc,0x09E,158,Proc09E,
proc,0x09F,159,Proc09F,
proc,0x0A0,160,Proc0A0,
proc,0x0A1,161,Proc0A1,
proc,0x0A2,162,Proc0A2,
proc,0x0A3,163,Proc0A3,
proc,0x0A4,164,Proc0A4,
func,0x0A5,165,Func0A5,
proc,0x0A6,166,Proc0A6,"arg_1, arg_2"
proc,0x0A8,168,Proc0A8,
proc,0x0A9,169,Proc0A9,arg_1
func,0x0AA,170,Func0AA,arg_1
proc,0x0AB,171,Proc0AB,
proc,0x0AC,172,Proc0AC,arg_1
proc,0x0AD,173,Proc0AD,
proc,0x0AE,174,Proc0AE,
proc,0x0AF,175,Proc0AF,
proc,0x0B0,176,Proc0B0,
proc,0x0B1,177,Proc0B1,
proc,0x0B2,178,Proc0B2,
func,0x0B3,179,Func0B3,
func,0x0B4,180,Func0B4,arg_1
func,0x0B5,181,Func0B5,
proc,0x0B6,182,Proc0B6,arg_1
func,0x0B7,183,Func0B7,arg_1
proc,0x0B8,184,Proc0B8,arg_1
func,0x0B9,185,Func0B9,
func,0x0BA,186,Func0BA,arg_1
proc,0x0BB,187,Proc0BB,arg_1
proc,0x0BC,188,Proc0BC,arg_1
func,0x0BD,189,Func0BD,arg_1
func,0x0BE,190,Func0BE,
func,0x0BF,191,Func0BF,arg_1
func,0x0C0,192,Func0C0,arg_1
func,0x0C1,193,Func0C1,arg_1
proc,0x0C2,194,Proc0C2,arg_1
proc,0x0C3,195,Proc0C3,
func,0x0C4,196,Func0C4,
func,0x0C5,197,Func0C5,arg_1
func,0x0C6,198,Func0C6,arg_1
proc,0x0C7,199,Proc0C7,
proc,0x0C8,200,Proc0C8,
func,0x0C9,201,Func0C9,
proc,0x0CA,202,Proc0CA,arg_1
proc,0x0CB,203,Proc0CB,arg_1
proc,0x0CC,204,Proc0CC,
proc,0x0CD,205,Proc0CD,
func,0x0CE,206,Func0CE,arg_1
func,0x0CF,207,Func0CF,arg_1
func,0x0D0,208,Func0D0,"arg_1, arg_2"
func,0x0D1,209,Func0D1,arg_1
proc,0x0D3,211,Proc0D3,"arg_1, arg_2, arg_3"
proc,0x0D4,212,Proc0D4,arg_1
func,0x0D5,213,Func0D5,arg_1
func,0x0D6,214,Func0D6,arg_1
func,0x0D7,215,Func0D7,arg_1
func,0x0D8,216,Func0D8,arg_1
func,0x0D9,217,Func0D9,
func,0x0DA,218,Func0DA,arg_1
proc,0x0DB,219,Proc0DB,arg_1
proc,0x0DC,220,Proc0DC,
func,0x0DD,221,Func0DD,arg_1
proc,0x0DE,222,Proc0DE,
proc,0x0DF,223,Proc0DF,
func,0x0E0,224,Func0E0,
func,0x0E1,225,Func0E1,
func,0x0E2,226,Func0E2,
proc,0x0E3,227,Proc0E3,arg_1
proc,0x0E4,228,Proc0E4,
proc,0x0E5,229,Proc0E5,
func,0x0E6,230,Func0E6,
func,0x0E7,231,Func0E7,
func,0x0E8,232,Func0E8,
func,0x0E9,233,Func0E9,
func,0x0EA,234,Func0EA,
func,0x0EB,235,Func0EB,
func,0x0EC,236,Func0EC,
func,0x0ED,237,Func0ED,
func,0x0EF,239,Func0EF,
proc,0x0F0,240,Proc0F0,arg_1
proc,0x0F1,241,Proc0F1,arg_1
proc,0x0F2,242,Proc0F2,
proc,0x0F3,243,Proc0F3,
func,0x0F4,244,Func0F4,
func,0x0F5,245,Func0F5,
func,0x0F6,246,Func0F6,
proc,0x0F7,247,Proc0F7,"arg_1, arg_2"
func,0x0F8,248,Func0F8,arg_1
func,0x0F9,249,Func0F9,arg_1
proc,0x0FA,250,Proc0FA,arg_1
proc,0x0FB,251,Proc0FB,arg_1
func,0x0FC,252,Func0FC,
func,0x0FD,253,Func0FD,
func,0x0FE,254,Func0FE,arg_1: string
proc,0x0FF,255,Proc0FF,arg_1
proc,0x100,256,Proc100,
proc,0x101,257,Proc101,
func,0x102,258,Func102,"arg_1, arg_2"
proc,0x103,259,Proc103,"arg_1, arg_2, arg_3, arg_4, arg_5"
proc,0x104,260,Proc104,"arg_1, arg_2"
proc,0x105,261,GetAnimalName,"arg_1, arg_2, arg_3"
func,0x106,262,Func106,
func,0x107,263,HasAnimalBeenTalkedTo,"arg_1, arg_2"
proc,0x108,264,SetAnimalTalkedTo,"arg_1, arg_2"
proc,0x109,265,Proc109,"arg_1, arg_2, arg_3"
func,0x10A,266,Func10A,"arg_1, arg_2"
func,0x10B,267,GetAnimalAge,"arg_1, arg_2"
func,0x10C,268,Func10C,"arg_1, arg_2"
func,0x10D,269,Func10D,"arg_1, arg_2"
func,0x10F,271,Func10F,"arg_1, arg_2"
func,0x110,272,Func110,"arg_1, arg_2"
func,0x111,273,Func111,arg_1
func,0x112,274,Func112,"arg_1, arg_2"
proc,0x113,275,Proc113,
proc,0x114,276,Proc114,
proc,0x115,277,Proc115,
proc,0x116,278,Proc116,
func,0x117,279,Func117,arg_1
func,0x118,280,Func118,
func,0x119,281,Func119,
func,0x11A,282,Func11A,
proc,0x11B,283,Proc11B,"arg_1, arg_2"
proc,0x11C,284,Proc11C,arg_1
func,0x11D,285,Func11D,arg_1
proc,0x11E,286,Proc11E,arg_1
func,0x11F,287,Func11F,
func,0x120,288,Func120,
func,0x121,289,Func121,
func,0x122,290,Func122,
func,0x124,292,Func124,
func,0x125,293,Func125,
func,0x126,294,Func126,
func,0x127,295,Func127,
func,0x128,296,Func128,
proc,0x129,297,Proc129,arg_1: string
proc,0x12A,298,Proc12A,
proc,0x12B,299,Proc12B,"arg_1, arg_2, arg_3"
proc,0x12C,300,Proc12C,
proc,0x12D,301,Proc12D,
proc,0x12E,302,Proc12E,arg_1
proc,0x12F,303,Proc12F,
func,0x130,304,Func130,arg_1
proc,0x131,305,Proc131,
proc,0x132,306,Proc132,"arg_1, arg_2, arg_3, arg_4"
proc,0x133,307,Proc133,
proc,0x134,308,Proc134,
proc,0x135,309,Proc135,
proc,0x136,310,Proc136,
func,0x137,311,Func137,
proc,0x138,312,Proc138,"arg_1, arg_2"
proc,0x139,313,Proc139,
func,0x13A,314,Func13A,arg_1
func,0x13B,315,Func13B,arg_1
func,0x13C,316,Func13C,arg_1
proc,0x13D,317,Proc13D,"arg_1, arg_2, arg_3, arg_4, arg_5"
proc,0x13E,318,Proc13E,arg_1
func,0x13F,319,Func13F,arg_1
proc,0x142,322,Proc142,"arg_1, arg_2, arg_3, arg_4, arg_5"
proc,0x143,323,Proc143,"arg_1, arg_2, arg_3"
proc,0x144,324,Proc144,"arg_1, arg_2, arg_3"
proc,0x145,325,Proc145,arg_1
proc,0x146,326,Proc146,arg_1
proc,0x147,327,Proc147,"arg_1, arg_2, arg_3"
proc,0x148,328,Proc148,"arg_1, arg_2"
func,0x149,329,Func149,
proc,0x14A,330,Proc14A,
