event,line,opcode,args,context
event_0036.txt,70,Func083,3,Bad chicken! \r\nDon't run away again!\BRK | Thanks for helping me out. \BRK
event_0036.txt,84,Proc046,,Bad chicken! \r\nDon't run away again!\BRK | Thanks for helping me out. \BRK | I don't think I've seen you \r\naround before? \BRK\r\nMy name is Popuri. \r\nHow do you do.\BRK
event_0036.txt,117,Proc046,,"Uh-oh. I let the \r\nChicken get away again!\BRK | Thank you.\r\nChickens are really hard\r\nto catch, you know. \BRK"
event_0044.txt,127,Proc0AB,,
event_0045.txt,47,Proc129,5,"OK, it's set!\r\nFrom now on, I'll call \r\nyou \xFF)!\BRK"
event_0045.txt,60,Proc129,2,"OK, it's set!\r\nFrom now on, I'll call \r\nyou \xFF)!\BRK"
event_0045.txt,73,Proc129,3,"OK, it's set!\r\nFrom now on, I'll call \r\nyou \xFF)!\BRK"
event_0045.txt,89,Proc0A6,0,What?\r\nWhat do you want me\r\nto call you then?\BRK | OK. \r\nFrom now on I'll call you\r\n\xFF).\BRK
event_0046.txt,54,Func083,0x19,"Welcome. \BRK | I don't think I've seen you\r\nbefore. You must be\r\n\xFF!, right? \BRK"
event_0046.txt,173,Proc046,,"Here you are, \r\n\xFF!!\BRK"
event_0046.txt,183,Proc046,,How does it taste? \BRK
event_0055.txt,125,Proc0AB,,
event_0056.txt,46,Proc129,5,"It's set, then.\r\n\xFF), it is!\BRK"
event_0056.txt,59,Proc129,2,"It's set, then.\r\n\xFF), it is!\BRK"
event_0056.txt,72,Proc129,3,"It's set, then.\r\n\xFF), it is!\BRK"
event_0056.txt,88,Proc0A6,0,"Can't you think of \r\nsomething really good?\r\nDon't disappoint me now!\BRK | Good idea! From now on, \r\nI'll call you \r\n\xFF)!\BRK"
event_0057.txt,53,Func083,0xC,Oh! \r\nI'm sorry I didn't see\r\nyou there. \BRK | I've never seen you \r\nbefore...Are you a \r\ntourist or something? \BRK
event_0059.txt,178,Proc046,,"That's it! \r\nNOW I remember putting\r\nit there! \BRK | Well, I can continue \r\nwriting! I'm indebted \r\nto you, \xFF!! \BRK"
event_0064.txt,130,Proc0AB,,
event_0065.txt,43,Proc129,5,.......\xFF).\r\nI like the sound of it!\BRK
event_0065.txt,56,Proc129,2,.......\xFF).\r\nI like the sound of it!\BRK
event_0065.txt,69,Proc129,3,.......\xFF).\r\nI like the sound of it!\BRK
event_0065.txt,85,Proc0A6,0,"Can you think of anything\r\nyou like? For me...?\BRK | I like the sound of that!\r\n\xFF), it is!\BRK"
event_0066.txt,139,Func083,0x15,"Hey! Where are you going!\BRK | Hello. You're not from \r\naround here, are you?\BRK"
event_0078.txt,124,Proc0AB,,
event_0079.txt,42,Proc129,5,"OK, it's \r\n\xFF), then. \BRK"
event_0079.txt,67,Proc129,3,"OK, it's \r\n\xFF), then. \BRK"
event_0079.txt,83,Proc0A6,0,"I wonder what\x81fs\r\na good name for you...?\BRK | OK, it's \r\n\xFF), then. \BRK"
event_0085.txt,13,Proc0CA,0xD,
event_0086.txt,13,Proc0CA,0xD,
event_0087.txt,15,Proc062,,"You found a Power Berry.\r\n\BRK | ...But your hands are\r\nalready full, so you \r\ncan't hold it.\BRK | There's nothing here now.\r\n\BRK"
event_0089.txt,6,Proc134,"0, 0",
event_0090.txt,8,Proc08D,0x14,
event_0091.txt,9,Proc08D,0x14,
event_0091.txt,15,Func0B7,0x12,
event_0092.txt,8,Proc08D,0x14,
event_0092.txt,12,Proc134,"1, 0",
event_0093.txt,15,Proc08D,0x14,
event_0093.txt,51,Func083,0x18,
event_0097.txt,8,Func063,,
event_0098.txt,8,Func063,,
event_0104.txt,39,Func0DD,1,"Alright, let's go!\BRK"
event_0105.txt,51,Func083,3,
event_0105.txt,55,Func083,0x13,
event_0105.txt,59,Func056,,
event_0105.txt,60,Func083,0x1C,It's locked...\BRK
event_0106.txt,31,Proc08D,3,Where are you going?\r\nThe fireworks are\r\nabout to start!\BRK
event_0106.txt,32,Proc08D,0x1A,Where are you going?\r\nThe fireworks are\r\nabout to start!\BRK
event_0106.txt,37,Proc08D,0x1A,
event_0106.txt,42,Proc08D,3,
event_0106.txt,43,Proc08D,0x1A,
event_0106.txt,48,Proc08D,0x14,Where are you going?\r\nThe Beach Day\r\nis about to start!\BRK
event_0106.txt,49,Proc08D,0x15,Where are you going?\r\nThe Beach Day\r\nis about to start!\BRK
event_0106.txt,77,Proc08D,0xD,"That was fun!\r\nAlright, back to work...\BRK"
event_0106.txt,78,Proc08D,0x11,"That was fun!\r\nAlright, back to work...\BRK"
event_0106.txt,79,Proc08D,0x12,"That was fun!\r\nAlright, back to work...\BRK"
event_0106.txt,80,Proc08D,0x1A,"That was fun!\r\nAlright, back to work...\BRK"
event_0106.txt,81,Proc08D,3,"That was fun!\r\nAlright, back to work...\BRK"
event_0106.txt,82,Proc08D,0x1C,
event_0106.txt,83,Proc12A,0,
event_0107.txt,28,Proc08D,3,Where are you going?\r\nThe fireworks are\r\nabout to start!\BRK
event_0107.txt,29,Proc08D,0x1A,Where are you going?\r\nThe fireworks are\r\nabout to start!\BRK
event_0107.txt,34,Proc08D,0x1A,
event_0107.txt,39,Proc08D,3,
event_0107.txt,40,Proc08D,0x1A,
event_0107.txt,45,Proc08D,0x14,
event_0107.txt,46,Proc08D,0x15,
event_0107.txt,80,Proc08D,0xD,"That was fun!\r\nAlright, back to work...\BRK"
event_0107.txt,81,Proc08D,0x11,"That was fun!\r\nAlright, back to work...\BRK"
event_0107.txt,82,Proc08D,0x12,"That was fun!\r\nAlright, back to work...\BRK"
event_0107.txt,83,Proc08D,0x1A,"That was fun!\r\nAlright, back to work...\BRK"
event_0107.txt,84,Proc08D,3,"That was fun!\r\nAlright, back to work...\BRK"
event_0107.txt,85,Proc08D,0x1C,
event_0108.txt,42,Func083,7,
event_0108.txt,46,Func083,3,It's locked...\BRK
event_0124.txt,14,Proc08D,2,
event_0124.txt,15,Proc08D,3,
event_0124.txt,16,Proc08D,1,
event_0124.txt,21,Proc08D,2,
event_0124.txt,22,Proc08D,3,
event_0124.txt,23,Proc08D,1,
event_0124.txt,28,Proc08D,2,
event_0124.txt,29,Proc08D,3,
event_0124.txt,30,Proc08D,1,
event_0124.txt,35,Proc08D,2,
event_0124.txt,36,Proc08D,3,
event_0124.txt,37,Proc08D,1,
event_0124.txt,42,Proc08D,2,
event_0124.txt,43,Proc08D,0x13,
event_0124.txt,48,Proc08D,1,
event_0124.txt,53,Proc08D,0x12,
event_0124.txt,54,Proc08D,1,
event_0136.txt,23,Proc0CA,0xA,
event_0139.txt,78,Proc0CA,0xB,
event_0139.txt,120,Proc146,,"Sorry, but you don't seem\r\nto have enough Gold.\r\nCome back another time.\BRK | Are you sure now?\BRK"
event_0139.txt,220,Proc12E,"0, 0, 0, 5","Don't forget that your\r\nanimals give you their own\r\nmilk, eggs, and wool to use!\BRK\WAIT_CLICKExpress your gratitude \r\nby caring for them well!\BRK\WAIT_CLICKThe Harvest Goddess has\r\nnow forg"
event_0139.txt,301,Proc12E,"0, 0, 0, 5","The human heart is a weak\r\nthing, and often we seek to\r\nmake ourselves feel better\BRK\r\nby cruelty to those weaker \r\nin strength. \BRK\WAIT_CLICKRemember that true \r\nstrength lies in kindnes"
event_0143.txt,12,Proc08D,0x17,
event_0143.txt,13,Proc08D,0x16,
event_0143.txt,52,Proc08D,0x16,"\xFF!,\r\nYou can't go outside now.\BRK"
event_0150.txt,8,Func083,1,
event_0153.txt,8,Proc08D,0x1C,
event_0153.txt,9,Proc08D,0x1D,
event_0153.txt,14,Proc08D,0x1C,
event_0153.txt,15,Proc08D,0x1D,
event_0154.txt,6,Func063,,
event_0155.txt,8,Func063,,
event_0156.txt,10,Func063,,
event_0156.txt,30,Proc046,,
event_0157.txt,8,Func063,,
event_0157.txt,11,Func0F9,,
event_0157.txt,24,Func0F5,var_0,
event_0157.txt,26,Proc09B,var_0,
event_0157.txt,28,Proc0F8,var_0,
event_0157.txt,32,Func0F5,0x87,
event_0157.txt,34,Proc09B,0x87,
event_0157.txt,36,Proc0F8,0x87,
event_0157.txt,39,Func0F5,0x86,
event_0157.txt,41,Proc09B,0x86,
event_0157.txt,43,Proc0F8,0x86,
event_0165.txt,9,Func063,,
event_0166.txt,8,Func063,,
event_0167.txt,7,Func063,,
event_0168.txt,11,Func063,,
event_0168.txt,17,Func0B7,0x1D,
event_0168.txt,73,Proc08D,3,
event_0168.txt,74,Proc08D,0x23,
event_0168.txt,99,Proc08D,0x19,
event_0168.txt,100,Proc08D,0x23,
event_0168.txt,125,Proc08D,0x15,
event_0168.txt,126,Proc08D,0x23,
event_0168.txt,151,Proc08D,0x13,
event_0168.txt,152,Proc08D,0x23,
event_0168.txt,178,Proc08D,0xC,
event_0168.txt,179,Proc08D,0x23,
event_0168.txt,203,Proc08D,0x1F,
event_0168.txt,204,Proc08D,0x23,
event_0169.txt,7,Func063,,
event_0170.txt,7,Func063,,
event_0171.txt,7,Func063,,
event_0172.txt,13,Func063,,
event_0173.txt,4,Func063,,
event_0173.txt,14,Func04C,,
event_0173.txt,23,Proc046,,
event_0173.txt,32,Proc04D,,
event_0176.txt,19,Func083,0x14,
event_0179.txt,45,Func083,0x1B,
event_0179.txt,53,Func083,0x1B,It's locked...\BRK
event_0188.txt,7,Proc08D,0x15,
event_0188.txt,8,Proc08D,0xF,
event_0188.txt,9,Proc08D,0x10,
event_0188.txt,14,Proc08D,0xF,
event_0188.txt,15,Proc08D,0x10,
event_0188.txt,26,Proc08D,0xF,
event_0188.txt,31,Proc08D,0xF,
event_0188.txt,32,Proc08D,0x15,
event_0188.txt,33,Proc08D,0x10,
event_0201.txt,7,Proc08D,0x12,
event_0205.txt,31,Proc0CA,9,It's locked...\BRK
event_0206.txt,7,Proc08D,0x13,
event_0206.txt,8,Proc08D,0x12,
event_0206.txt,9,Proc08D,0x11,
event_0206.txt,14,Proc08D,0x13,
event_0206.txt,15,Proc08D,0x12,
event_0206.txt,16,Proc08D,0x11,
event_0206.txt,21,Proc08D,0x13,
event_0206.txt,22,Proc08D,0x12,
event_0206.txt,23,Proc08D,0x11,
event_0206.txt,24,Proc08D,8,
event_0206.txt,29,Proc08D,0x13,
event_0206.txt,30,Proc08D,0x12,
event_0206.txt,31,Proc08D,0x11,
event_0206.txt,36,Proc08D,9,
event_0206.txt,37,Proc08D,0x11,
event_0206.txt,42,Proc08D,0x11,
event_0206.txt,43,Proc08D,0x12,
event_0209.txt,12,Func0BA,0,
event_0209.txt,13,Proc046,,
event_0209.txt,14,Proc0B8,0,
event_0210.txt,12,Func0BA,1,
event_0210.txt,13,Proc046,,
event_0210.txt,14,Proc0B8,1,
event_0211.txt,12,Func0BA,2,
event_0211.txt,13,Proc046,,
event_0211.txt,14,Proc0B8,2,
event_0212.txt,12,Func0BA,3,
event_0212.txt,13,Proc046,,
event_0212.txt,14,Proc0B8,3,
event_0213.txt,12,Func0BA,4,
event_0213.txt,13,Proc046,,
event_0213.txt,14,Proc0B8,4,
event_0214.txt,12,Func0BA,5,
event_0214.txt,13,Proc046,,
event_0214.txt,14,Proc0B8,5,
event_0215.txt,12,Func0BA,6,
event_0215.txt,13,Proc046,,
event_0215.txt,14,Proc0B8,6,
event_0216.txt,12,Func0BA,7,
event_0216.txt,13,Proc046,,
event_0216.txt,14,Proc0B8,7,
event_0217.txt,7,Proc046,,
event_0218.txt,29,Func0BD,0,
event_0218.txt,46,Func117,,"It's already full, so you \r\ncan't incubate any more.\BRK"
event_0218.txt,49,Func0BD,1,"It's already full, so you \r\ncan't incubate any more.\BRK"
event_0218.txt,59,Proc046,,"It's already full, so you \r\ncan't incubate any more.\BRK"
event_0218.txt,60,Proc0B9,0,"It's already full, so you \r\ncan't incubate any more.\BRK"
event_0219.txt,28,Func0BD,1,
event_0219.txt,40,Func117,,"It's already full, so you \r\ncan't incubate any more.\BRK"
event_0219.txt,42,Func0BD,0,"It's already full, so you \r\ncan't incubate any more.\BRK"
event_0219.txt,51,Proc046,,"It's already full, so you \r\ncan't incubate any more.\BRK"
event_0219.txt,52,Proc0B9,1,"It's already full, so you \r\ncan't incubate any more.\BRK"
event_0220.txt,24,Proc046,,
event_0224.txt,9,Proc09E,,A Jewel of Truth is\r\nfallen behind the calendar.\BRK
event_0224.txt,28,Proc09E,,"A Jewel of Truth is\r\nfallen behind the calendar.\BRK\WAIT_CLICK...But your hands are\r\nalready full, so you \r\ncan't hold it.\BRK"
event_0226.txt,5,Proc09F,,
event_0229.txt,12,Proc046,,Hey!! Where did you\r\nfind this!?\BRK | Oh...I see...\r\nYou told Ann and the\r\nothers for me.\BRK\WAIT_CLICKThis photo shows my \r\nmother any my sister...\BRK | You see...I...\BRK\WAIT_CLICKI didn
event_0238.txt,7,Proc08D,0x15,
event_0238.txt,8,Proc08D,0x14,
event_0238.txt,13,Proc08D,0x15,
event_0238.txt,14,Proc08D,0x14,
event_0238.txt,19,Proc08D,0x15,
event_0238.txt,20,Proc08D,0x14,
event_0238.txt,25,Proc08D,0x15,
event_0238.txt,26,Proc08D,0x14,
event_0238.txt,31,Proc08D,0x15,
event_0238.txt,32,Proc08D,0x11,
event_0238.txt,33,Proc08D,0x14,
event_0238.txt,38,Proc08D,0x15,
event_0238.txt,39,Proc08D,0x14,
event_0239.txt,16,Proc0CA,7,It's locked...\BRK
event_0240.txt,38,Proc0CA,6,It's locked...\BRK
event_0258.txt,39,Proc0CA,3,It's locked...\BRK
event_0259.txt,26,Proc0CA,2,It's locked...\BRK
event_0268.txt,7,Proc08D,0x18,
event_0271.txt,59,Proc0CA,1,
event_0271.txt,63,Func083,0x19,It's locked...\BRK
event_0272.txt,49,Func083,0x19,
event_0273.txt,7,Proc08D,0x19,
event_0273.txt,8,Proc08D,0x18,
event_0273.txt,13,Proc08D,0x18,
event_0273.txt,18,Proc08D,0x19,
event_0273.txt,19,Proc08D,0x18,
event_0273.txt,20,Proc08D,0x17,
event_0273.txt,25,Proc08D,0x19,
event_0273.txt,26,Proc08D,0x18,
event_0273.txt,27,Proc08D,8,
event_0273.txt,28,Proc08D,0xD,
event_0273.txt,29,Proc08D,0xE,
event_0274.txt,5,Proc0CA,5,
event_0275.txt,5,Proc0CA,4,
event_0284.txt,7,Proc08D,0x19,
event_0284.txt,12,Proc08D,0x17,
event_0285.txt,65,Func0DD,,You'll have to wait until \r\nwhat you bought arrives.\BRK | There is a phone.\BRK | There is a phone.\BRK
event_0285.txt,88,Func0DD,,"You need 10G to make a call.\BRK | Hello.\r\nThis is the TV\r\nShopping Network.\BRK\WAIT_CLICK | The Watch is 2,000G.\r\nDo you want it?\BRK"
event_0285.txt,372,Proc0E1,,"...But, I'm not\r\nselling anything right now.\BRK | Thanks a lot.\r\nI'll deliver it in \r\n2-3 days.\BRK | It looks like you don't\r\nhave enough gold. I'd\r\nhold off if I were you.\BRK | Just give"
event_0292.txt,39,Func083,0xA,"I haven't cleaned upstairs\r\nyet, so please don't \r\ngo up there.\BRK | Please don't go upstairs!\BRK"
event_0293.txt,7,Proc08D,0xA,
event_0293.txt,8,Proc08D,0xB,
event_0293.txt,9,Proc08D,0xC,
event_0293.txt,10,Proc08D,7,
event_0300.txt,7,Proc08D,0xA,
event_0306.txt,7,Proc08D,0xC,
event_0306.txt,12,Proc08D,0xC,
event_0306.txt,17,Proc08D,0xC,
event_0306.txt,18,Proc08D,7,
event_0306.txt,23,Proc08D,0xC,
event_0306.txt,24,Proc08D,7,
event_0308.txt,5,Proc09B,0,
event_0309.txt,5,Proc09B,1,
event_0310.txt,5,Proc09B,2,
event_0311.txt,5,Proc09B,9,
event_0312.txt,5,Proc09B,0xA,
event_0313.txt,5,Proc09B,0xB,
event_0314.txt,5,Proc09B,0x10,
event_0315.txt,5,Proc09B,0x11,
event_0316.txt,70,Proc09B,0x12,
event_0316.txt,81,Proc09B,0x13,
event_0316.txt,96,Proc09B,0x14,
event_0316.txt,107,Proc09B,0x15,
event_0316.txt,127,Proc09B,0x16,
event_0316.txt,138,Proc09B,0x17,
event_0316.txt,153,Proc09B,0x18,
event_0316.txt,164,Proc09B,0x19,
event_0316.txt,184,Proc09B,0x1A,
event_0316.txt,195,Proc09B,0x1B,
event_0316.txt,210,Proc09B,0x1C,
event_0316.txt,221,Proc09B,0x1D,
event_0316.txt,241,Proc09B,0x1E,
event_0316.txt,252,Proc09B,0x1F,
event_0316.txt,267,Proc09B,0x20,
event_0316.txt,278,Proc09B,0x21,
event_0316.txt,298,Proc09B,0x22,
event_0316.txt,309,Proc09B,0x23,
event_0316.txt,324,Proc09B,0x24,
event_0316.txt,335,Proc09B,0x25,
event_0316.txt,355,Proc09B,0x26,
event_0316.txt,366,Proc09B,0x27,
event_0316.txt,381,Proc09B,0x28,
event_0316.txt,392,Proc09B,0x29,
event_0316.txt,412,Proc09B,0x2A,
event_0316.txt,423,Proc09B,0x2B,
event_0316.txt,438,Proc09B,0x2C,
event_0316.txt,449,Proc09B,0x2D,
event_0316.txt,469,Proc09B,0x2E,
event_0316.txt,480,Proc09B,0x2F,
event_0316.txt,495,Proc09B,0x30,
event_0316.txt,506,Proc09B,0x31,
event_0316.txt,526,Proc09B,0x33,
event_0316.txt,537,Proc09B,0x34,
event_0316.txt,552,Proc09B,0x35,
event_0316.txt,563,Proc09B,0x36,You can't find it...\r\n\BRK
event_0317.txt,30,Proc09B,0x3D,
event_0317.txt,37,Proc09B,0x3E,
event_0317.txt,44,Proc09B,0x3F,
event_0317.txt,51,Proc09B,0x40,
event_0317.txt,58,Proc09B,0x41,
event_0317.txt,74,Proc09B,0x42,
event_0317.txt,81,Proc09B,0x43,
event_0317.txt,88,Proc09B,0x44,
event_0317.txt,95,Proc09B,0x45,
event_0317.txt,102,Proc09B,0x46,
event_0318.txt,18,Proc09B,0x3B,
event_0318.txt,28,Proc09B,0x3B,
event_0318.txt,34,Proc09B,0x37,
event_0318.txt,51,Proc09B,0x3B,
event_0318.txt,57,Proc09B,0x37,
event_0318.txt,63,Proc09B,0x38,
event_0318.txt,80,Proc09B,0x3B,
event_0318.txt,86,Proc09B,0x37,
event_0318.txt,92,Proc09B,0x38,
event_0318.txt,98,Proc09B,0x39,
event_0318.txt,114,Proc09B,0x3B,
event_0318.txt,120,Proc09B,0x37,
event_0318.txt,126,Proc09B,0x38,
event_0318.txt,132,Proc09B,0x39,
event_0318.txt,138,Proc09B,0x3A,
event_0319.txt,5,Proc09B,0xF,
event_0320.txt,8,Proc09B,0x3C,Bookshelf\r\n\BRK
event_0321.txt,8,Proc09B,0xD,Bookshelf\r\n\BRK
event_0322.txt,11,Proc09B,0xE,A Jewel of Truth is\r\nfallen in the bookshelf.\BRK
event_0322.txt,29,Proc09B,0xE,"A Jewel of Truth is\r\nfallen in the bookshelf.\BRK\WAIT_CLICK...But your hands are\r\nalready full, so you \r\ncan't hold it.\BRK | Bookshelf\r\n\BRK"
event_0341.txt,144,Proc0CA,0xC,
event_0341.txt,173,Proc067,,
event_0344.txt,17,Proc09C,,
event_0344.txt,21,Func0FA,,
event_0344.txt,28,Proc09D,,
event_0345.txt,5,Proc09E,,
event_0348.txt,5,Proc09F,,
event_0349.txt,19,Proc0A0,,
event_0349.txt,23,Func137,0,You haven't made anything.\BRK
event_0349.txt,26,Proc0A1,,You haven't made anything.\BRK | Cook here.\r\nYou can't cook while \r\nholding something.\BRK
event_0351.txt,41,Func0B0,,Record Player\BRK
event_0351.txt,42,Proc046,,Record Player\BRK
event_0351.txt,43,Func0B4,var_1,Record Player\BRK
event_0351.txt,46,Proc046,,Record Player\BRK | Record Player\BRK
event_0351.txt,47,Func0B4,var_1,Record Player\BRK | Record Player\BRK
event_0351.txt,51,Func0B0,,Record Player\BRK
event_0351.txt,52,Func0B2,,Record Player\BRK | Table\BRK
event_0352.txt,4,Proc0AF,,
event_0352.txt,6,Proc0A0,,
event_0352.txt,7,Proc0AF,,
event_0352.txt,9,Proc0AD,,
event_0353.txt,4,Proc0AE,,
event_0353.txt,6,Proc0A1,,
event_0353.txt,7,Proc0AE,,
event_0353.txt,9,Proc0AF,,
event_0354.txt,27,Proc04A,0x15,Nothing in the sock.\BRK | There was a present inside!\BRK | It's Mystrile!\BRK | I have to put \r\nsomething down first.\BRK
event_0354.txt,45,Proc04A,0x16,I have to put \r\nsomething down first.\BRK | There was a present inside!\BRK | It's Orichalc!\BRK | I have to put \r\nsomething down first.\BRK
event_0354.txt,63,Proc04A,0x18,I have to put \r\nsomething down first.\BRK | There was a present inside!\BRK | It's a Moon Stone!\BRK | I have to put \r\nsomething down first.\BRK
event_0354.txt,81,Proc04A,0x19,I have to put \r\nsomething down first.\BRK | There was a present inside!\BRK | It's Sand Rose!\BRK | I have to put \r\nsomething down first.\BRK
event_0354.txt,99,Proc04A,0x1B,I have to put \r\nsomething down first.\BRK | There was a present inside!\BRK | It's Alexandrite \BRK | I have to put \r\nsomething down first.\BRK
event_0357.txt,8,Proc0AD,,Ouch!...\BRK
event_0357.txt,10,Proc09F,,Ouch!...\BRK
event_0357.txt,11,Proc0AD,,Ouch!...\BRK
event_0357.txt,13,Proc0AE,,Ouch!...\BRK
event_0358.txt,148,Proc08D,3,
event_0358.txt,149,Proc08D,0x23,
event_0358.txt,154,Proc08D,0x19,
event_0358.txt,155,Proc08D,0x23,
event_0358.txt,160,Proc08D,0x15,
event_0358.txt,161,Proc08D,0x23,
event_0358.txt,166,Proc08D,0x13,
event_0358.txt,167,Proc08D,0x23,
event_0358.txt,172,Proc08D,0xC,
event_0358.txt,173,Proc08D,0x23,
event_0358.txt,178,Proc08D,0x23,
event_0358.txt,250,Func083,0x1A,
event_0358.txt,253,Func083,0x1A,
event_0358.txt,269,Func0DF,,
event_0358.txt,335,Func083,0xE,
event_0358.txt,348,Func083,4,
event_0359.txt,33,Func0B6,,Vase\BRK
event_0359.txt,39,Proc046,,Vase\BRK
event_0359.txt,40,Proc0B8,var_2,
event_0359.txt,47,Proc046,,Vase\BRK
event_0359.txt,48,Proc0B8,var_2,Vase\BRK
event_0370.txt,76,Func083,0x16,
event_0370.txt,80,Func083,0x16,
event_0371.txt,76,Func083,0x10,
event_0371.txt,80,Func083,0x10,
event_0371.txt,84,Func083,0x10,
event_0371.txt,88,Func083,0x10,
event_0371.txt,96,Func083,0xA,
event_0372.txt,82,Func083,9,
event_0372.txt,86,Func083,0x11,
event_0372.txt,90,Func083,0x11,
event_0372.txt,94,Func056,,
event_0373.txt,54,Func083,0x14,
event_0373.txt,62,Func083,0x14,
event_0373.txt,66,Func083,0x14,
event_0374.txt,89,Func083,0x13,
event_0374.txt,93,Func083,8,
event_0375.txt,68,Func083,0xA,
event_0375.txt,72,Func083,9,
event_0378.txt,56,Func083,8,It's locked...\BRK
event_0389.txt,7,Proc08D,9,
event_0389.txt,8,Proc08D,8,
event_0395.txt,15,Proc0CA,0,It's locked...\BRK
event_0404.txt,66,Func0DA,1,"Great! \r\nLet's start, then.\BRK"
event_0404.txt,113,Func0DA,0,Alright. Press SELECT ON \r\nthe Betting Screen to see a\r\ndescription of how to \BRK\r\ndo it. \BRK
event_0404.txt,215,Func11D,1,"So you're not ready\r\nafter all, eh?\BRK | We want to begin judging the\r\nCows now. \r\nAre you ready?\BRK"
event_0404.txt,216,Func083,4,"So you're not ready\r\nafter all, eh?\BRK | We want to begin judging the\r\nCows now. \r\nAre you ready?\BRK"
event_0404.txt,241,Func10F,"1, var_4","Great. Let's get started,\r\nthen!\BRK"
event_0404.txt,272,Func11D,2,Table\BRK | We want to begin judging the\r\nCows now. \r\nAre you ready?\BRK
event_0404.txt,273,Func083,4,Table\BRK | We want to begin judging the\r\nCows now. \r\nAre you ready?\BRK
event_0404.txt,298,Func10F,"2, var_5","Great. Let's get started,\r\nthen!\BRK"
event_0405.txt,18,Func04C,,
event_0405.txt,24,Proc046,,
event_0405.txt,30,Proc046,,
event_0409.txt,42,Proc08D,0xD,"\xFF!, \r\nwhere are you going?\BRK\WAIT_CLICKThe competition hasn't\r\nstarted yet.\BRK"
event_0409.txt,43,Proc08D,0x14,"\xFF!, \r\nwhere are you going?\BRK\WAIT_CLICKThe competition hasn't\r\nstarted yet.\BRK"
event_0409.txt,44,Proc08D,0x16,"\xFF!, \r\nwhere are you going?\BRK\WAIT_CLICKThe competition hasn't\r\nstarted yet.\BRK"
event_0409.txt,45,Proc08D,0x1E,"\xFF!, \r\nwhere are you going?\BRK\WAIT_CLICKThe competition hasn't\r\nstarted yet.\BRK"
event_0409.txt,46,Proc08D,0x1C,"\xFF!, \r\nwhere are you going?\BRK\WAIT_CLICKThe competition hasn't\r\nstarted yet.\BRK"
event_0409.txt,47,Proc08D,0x19,Hmm...What should I make?\BRK
event_0409.txt,48,Proc08D,0x1B,Hmm...What should I make?\BRK
event_0409.txt,49,Proc08D,0x13,Hmm...What should I make?\BRK
event_0409.txt,50,Proc08D,0x18,Hmm...What should I make?\BRK
event_0409.txt,51,Proc08D,0x12,Hmm...What should I make?\BRK
event_0409.txt,52,Proc08D,9,Hmm...What should I make?\BRK
event_0409.txt,53,Proc08D,2,Hmm...What should I make?\BRK
event_0409.txt,54,Proc08D,1,Hmm...What should I make?\BRK
event_0409.txt,59,Proc12A,0,Hmm...What should I make?\BRK | The judging hasn't\r\neven begun yet.\BRK
event_0409.txt,77,Proc08D,0xD,The judging hasn't\r\neven begun yet.\BRK
event_0409.txt,78,Proc08D,0x15,The judging hasn't\r\neven begun yet.\BRK
event_0409.txt,79,Proc08D,0x16,The judging hasn't\r\neven begun yet.\BRK
event_0409.txt,80,Proc08D,0x19,That was fun!\r\nNow back to work...\BRK
event_0409.txt,81,Proc08D,0x1B,That was fun!\r\nNow back to work...\BRK
event_0409.txt,82,Proc08D,0x13,That was fun!\r\nNow back to work...\BRK
