flag_id,occurrences
0x10A,"event_0202.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0739.txt:  || event_0739.txt: Did you bring it for me, \r\n\xFF!? \BRK\WAIT_CLICKShow me quick!\BRK || event_0739.txt: This isn't it. \r\n\BRK || event_0739.txt:  || event_0739.txt: Sorry, but it has to be a \r\nregular Diamond. \BRK\WAIT_CLICKBring one to me quickly!\BRK || event_0739.txt: Sorry, but it has to be a \r\nregular Diamond. \BRK\WAIT_CLICKBring one to me quickly!\BRK | I said I needed a Bracelet, \r\nnot just any piece of \r\njewelry! \BRK\WAIT_CLICKBring one to me quickly!\ || event_0739.txt: I said I needed a Bracelet, \r\nnot just any piece of \r\njewelry! \BRK\WAIT_CLICKBring one to me quickly!\BRK | I said I needed a Golden \r\nEgg, not just any old Egg!\BRK\WAIT_CLICKBring one to me q || event_0739.txt: I said I needed a Golden \r\nEgg, not just any old Egg!\BRK\WAIT_CLICKBring one to me quickly!\BRK | What am I supposed to do \r\nwith an Egg dish!?\BRK\WAIT_CLICKBring me a Golden Egg soon!\BRK || event_0739.txt: What am I supposed to do \r\nwith an Egg dish!?\BRK\WAIT_CLICKBring me a Golden Egg soon!\BRK | Sorry, but this isn't the \r\nkind of Grass I need!\BRK || event_0739.txt: I need a Truffle, not \r\nTruffle Rice! \BRK\WAIT_CLICKBring one to me quickly!\BRK || event_0739.txt: I need a Truffle, not \r\nTruffle Rice! \BRK\WAIT_CLICKBring one to me quickly!\BRK | I need a Truffle, not a \r\nnormal Mushroom!\BRK\WAIT_CLICKBring one to me quickly!\BRK || event_0739.txt: I need a Truffle, not a \r\nnormal Mushroom!\BRK\WAIT_CLICKBring one to me quickly!\BRK | I need an AEPFE Apple, \r\nnot a normal one!\BRK\WAIT_CLICKBring one to me quickly!\BRK || event_0739.txt: I need an AEPFE Apple, \r\nnot a normal one!\BRK\WAIT_CLICKBring one to me quickly!\BRK | It looks delicious, but I \r\nneed an AEPFE Apple, not a \r\nregular one! \BRK\WAIT_CLICKBring one to me quick || event_0739.txt: It looks delicious, but I \r\nneed an AEPFE Apple, not a \r\nregular one! \BRK\WAIT_CLICKBring one to me quickly!\BRK | I need an AEPFE Apple, not\r\nApple cooking!\BRK\WAIT_CLICKBring one to me quick || event_0739.txt: I need an AEPFE Apple, not\r\nApple cooking!\BRK\WAIT_CLICKBring one to me quickly!\BRK | I need a regular Rice Cake, \r\nnot a cooked one!\BRK\WAIT_CLICKBring one to me quickly!\BRK || event_0982.txt:  || event_0991.txt: You can't use that now.\BRK"
0x10B,event_0202.txt:  || event_0358.txt:  || event_0358.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0740.txt:  || event_0982.txt:  || event_0991.txt: You can't use that now.\BRK
0x10C,"event_0358.txt:  || event_0740.txt:  || event_0740.txt: Thanks to your advice, \r\nI've decided to take a \r\nchance and just tell \BRK\r\nAja how I feel. \BRK\WAIT_CLICKThanks a lot!\BRK | OK...Sorry to\r\nbother you...\BRK || event_0740.txt: OK...Sorry to bother you. \BRK\WAIT_CLICKDon't forget to lock you \r\ndoors at night. \BRK || event_0982.txt: "
0x10D,event_0358.txt:  || event_0982.txt:  || event_0982.txt:  || event_0982.txt: 
0x10E,event_0202.txt:  || event_0358.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0741.txt:  || event_0991.txt: You can't use that now.\BRK
0x10F,"event_0093.txt:  || event_0188.txt:  || event_0188.txt:  || event_0202.txt:  || event_0371.txt:  || event_0371.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0742.txt:  || event_0743.txt: I just want to look \r\nat it once before I die...\BRK || event_0991.txt: You can't use that now.\BRK || event_1006.txt: Ah, so you are\r\n\xFF!?\BRK\WAIT_CLICKMy name is Ellen.\r\nMuch obliged...\BRK | My legs? They became\r\nbad when I got sick years\r\nago, so I can't move \BRK\r\naround very much.\BRK || event_1009.txt: Who are you?\r\nOh, I know, the new lad at \r\nthe farm Thomas was \BRK\r\nmentioning...\BRK\WAIT_CLICKMy name is Sasha, and I \r\nrun the Supermarket.\BRK || event_1017.txt:  || event_1018.txt: Now, I haven't seen \r\nyour face around here... \BRK\WAIT_CLICKAre you the new owner \r\nof that farm? \BRK\WAIT_CLICKI guess I should introduce \r\nmyself. My name is \r\nElli. Nice to meet you! \BR || event_1019.txt: You're not from around\r\nhere, are you? \BRK\WAIT_CLICKMy name? It's Stu.\r\nHey, you have cows on\r\nyour farm, right? \BRK\WAIT_CLICKCan I come pet one?\BRK"
0x11,event_0571.txt:  || event_0571.txt: 
0x110,event_0093.txt:  || event_0093.txt:  || event_0202.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0744.txt:  || event_0991.txt: You can't use that now.\BRK
0x111,"event_0188.txt:  || event_0188.txt:  || event_0202.txt:  || event_0371.txt:  || event_0371.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0745.txt:  || event_0746.txt: It's just like him to \r\nhide it that way. \BRK || event_0747.txt:  || event_0748.txt: I miss Grandpa...\BRK || event_0991.txt: You can't use that now.\BRK || event_1006.txt: Ah, so you are\r\n\xFF!?\BRK\WAIT_CLICKMy name is Ellen.\r\nMuch obliged...\BRK | My legs? They became\r\nbad when I got sick years\r\nago, so I can't move \BRK\r\naround very much.\BRK || event_1009.txt: Who are you?\r\nOh, I know, the new lad at \r\nthe farm Thomas was \BRK\r\nmentioning...\BRK\WAIT_CLICKMy name is Sasha, and I \r\nrun the Supermarket.\BRK || event_1017.txt:  || event_1018.txt: Now, I haven't seen \r\nyour face around here... \BRK\WAIT_CLICKAre you the new owner \r\nof that farm? \BRK\WAIT_CLICKI guess I should introduce \r\nmyself. My name is \r\nElli. Nice to meet you! \BR || event_1019.txt: You're not from around\r\nhere, are you? \BRK\WAIT_CLICKMy name? It's Stu.\r\nHey, you have cows on\r\nyour farm, right? \BRK\WAIT_CLICKCan I come pet one?\BRK"
0x112,event_0202.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0749.txt:  || event_0991.txt: You can't use that now.\BRK || event_1006.txt: 
0x113,event_1006.txt: 
0x114,event_0202.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0991.txt: You can't use that now.\BRK
0x115,event_0202.txt:  || event_0371.txt:  || event_0371.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0750.txt:  || event_0991.txt: You can't use that now.\BRK
0x116,"event_0201.txt:  || event_0201.txt:  || event_0202.txt:  || event_0372.txt:  || event_0372.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0751.txt:  || event_0752.txt: I think his painting is\r\ngreat. Who knew he had\r\nsuch talent?\BRK || event_0991.txt: You can't use that now.\BRK || event_0997.txt: Hey, how are you!\r\nMy name is Zack, and I'm\r\nin charge of shipping \BRK\r\naround here.\BRK\WAIT_CLICKI'll come to pick up \r\nwhatever you have to ship\r\neveryday except holidays.\BRK || event_1007.txt: H-Hi...\r\nUmm...Can I be of service?\BRK | Oh, so you've come to say\r\nyou've just moved in?\BRK\WAIT_CLICKMy name is Jeff.\r\nPleasure to meet you!\BRK || event_1008.txt: I heard that someone new \r\nhad taken over the farm.\BRK\WAIT_CLICKYou name is \r\n\xFF!, huh?\BRK\WAIT_CLICKMine's Karen. \BRK || event_1009.txt: Who are you?\r\nOh, I know, the new lad at \r\nthe farm Thomas was \BRK\r\nmentioning...\BRK\WAIT_CLICKMy name is Sasha, and I \r\nrun the Supermarket.\BRK || event_1014.txt: Ah, are you the new\r\nguy at that farm Thomas \r\ntold me about?\BRK\WAIT_CLICKMy name's Mary.\r\nNice to meet you.\BRK || event_1015.txt: Now, you're a new face\r\naround here...Oh, I know.\r\nyou're that new boy at \BRK\r\nthe farm!\BRK\WAIT_CLICKMy name is Anna, and it's\r\na pleasure to meet you!\BRK || event_1017.txt:  || event_1018.txt: Now, I haven't seen \r\nyour face around here... \BRK\WAIT_CLICKAre you the new owner \r\nof that farm? \BRK\WAIT_CLICKI guess I should introduce \r\nmyself. My name is \r\nElli. Nice to meet you! \BR || event_1021.txt:  || event_1027.txt: I've never seen your face\r\naround these parts before.\BRK\WAIT_CLICKYou're new at the farm, \r\nyou say? That's tough for \r\none man, but you can do it\BRK\r\nif you try. \BRK\WAIT_CLICKI'm Saibara || event_1028.txt: Who are you again?\r\nOh, you're at the farm, eh?\BRK\WAIT_CLICKI'm Gotz, the woodcutter\r\naround these parts. \BRK\WAIT_CLICKIf you ever want to expand\r\nyour house, just call me!\BRK"
0x117,"event_0202.txt:  || event_0205.txt:  || event_0206.txt:  || event_0206.txt:  || event_0372.txt:  || event_0372.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0753.txt: It wasn't so hard after all!\BRK || event_0754.txt: I'm OK now!!\r\n...I think...\BRK || event_0755.txt: I hope this makes her \r\nbetter...\BRK || event_0991.txt: You can't use that now.\BRK || event_0997.txt: Hey, how are you!\r\nMy name is Zack, and I'm\r\nin charge of shipping \BRK\r\naround here.\BRK\WAIT_CLICKI'll come to pick up \r\nwhatever you have to ship\r\neveryday except holidays.\BRK || event_1007.txt: H-Hi...\r\nUmm...Can I be of service?\BRK | Oh, so you've come to say\r\nyou've just moved in?\BRK\WAIT_CLICKMy name is Jeff.\r\nPleasure to meet you!\BRK || event_1008.txt: I heard that someone new \r\nhad taken over the farm.\BRK\WAIT_CLICKYou name is \r\n\xFF!, huh?\BRK\WAIT_CLICKMine's Karen. \BRK || event_1009.txt: Who are you?\r\nOh, I know, the new lad at \r\nthe farm Thomas was \BRK\r\nmentioning...\BRK\WAIT_CLICKMy name is Sasha, and I \r\nrun the Supermarket.\BRK || event_1014.txt: Ah, are you the new\r\nguy at that farm Thomas \r\ntold me about?\BRK\WAIT_CLICKMy name's Mary.\r\nNice to meet you.\BRK || event_1015.txt: Now, you're a new face\r\naround here...Oh, I know.\r\nyou're that new boy at \BRK\r\nthe farm!\BRK\WAIT_CLICKMy name is Anna, and it's\r\na pleasure to meet you!\BRK || event_1017.txt:  || event_1018.txt: Now, I haven't seen \r\nyour face around here... \BRK\WAIT_CLICKAre you the new owner \r\nof that farm? \BRK\WAIT_CLICKI guess I should introduce \r\nmyself. My name is \r\nElli. Nice to meet you! \BR || event_1021.txt:  || event_1027.txt: I've never seen your face\r\naround these parts before.\BRK\WAIT_CLICKYou're new at the farm, \r\nyou say? That's tough for \r\none man, but you can do it\BRK\r\nif you try. \BRK\WAIT_CLICKI'm Saibara || event_1028.txt: Who are you again?\r\nOh, you're at the farm, eh?\BRK\WAIT_CLICKI'm Gotz, the woodcutter\r\naround these parts. \BRK\WAIT_CLICKIf you ever want to expand\r\nyour house, just call me!\BRK"
0x118,event_0202.txt:  || event_0409.txt:  || event_0409.txt:  || event_0410.txt:  || event_0410.txt:  || event_0411.txt:  || event_0411.txt:  || event_0465.txt: Box of Oranges\BRK || event_0466.txt: Counter\BRK || event_0467.txt: Box of Oranges\BRK || event_0468.txt:  || event_0469.txt:  || event_0470.txt:  || event_0471.txt:  || event_0472.txt:  || event_0473.txt:  || event_0474.txt:  || event_0475.txt:  || event_0476.txt:  || event_0477.txt:  || event_0478.txt:  || event_0479.txt:  || event_0480.txt:  || event_0481.txt:  || event_0482.txt: Counter\BRK || event_0483.txt: Table\BRK || event_0484.txt: Counter\BRK || event_0485.txt: Counter\BRK || event_0486.txt: Counter\BRK || event_0487.txt: Counter\BRK || event_0488.txt: Counter\BRK || event_0489.txt: Counter\BRK || event_0527.txt:  || event_0527.txt:  || event_0756.txt:  || event_0757.txt:  || event_0758.txt:  || event_0759.txt:  || event_0991.txt: You can't use that now.\BRK || event_1021.txt: 
